course_name,level,cutoff_atar,award_type,provider,duration,field_of_education,campus
AD Aviation,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Aircraft Operation,Bundaberg QLD
AD Aviation,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Aircraft Operation,Distance Ed
AD Building Design,Undergraduate,59.85,Associate Degree,Central Queensland University,2 years,Building,Rockhampton QLD
AD Building Design,Undergraduate,59.85,Associate Degree,Central Queensland University,2 years,Building,Distance Ed
AD Building Surveying,Undergraduate,59.85,Associate Degree,Central Queensland University,2 years,Building,Distance Ed
AD Engineering,Undergraduate,59.85,Associate Degree,Central Queensland University,2 years,Engineering & Related Technologies,Distance Ed
AD Geoscience,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Earth Sciences,Distance Ed
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Brisbane QLD
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Bundaberg QLD
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Gladstone QLD
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Mackay QLD
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Melbourne VIC
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Rockhampton QLD
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Sydney NSW
(C) Doctor of Psychology,Postgraduate,,Doctorate by coursework,RMIT University,3 years,Psychology,Bundoora Campus VIC
AD Information Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Programming,Distance Ed
AD of Mine Technology,Undergraduate,53.70,Associate Degree,Central Queensland University,2 years,Process & Resources Engineering,Distance Ed
Adv.Dip Aborig Stud. in Music,Undergraduate,N/A,Advanced Diploma,The University of Adelaide,2 years,Music,Adelaide SA
Advanced Diploma in Arts,Undergraduate,N/A,Advanced Diploma,University of New England,1.5 years,Studies in Human Society n.e.c.,Armidale NSW
(C)Doctor of Bus Ad(Mgt&OrgCn),Postgraduate,,Doctorate by coursework,RMIT University,3 years,Organisation Management,City Campus VIC
ANU-NUS MA(SE Asian Studies),Postgraduate,,Master's by coursework,The Australian National University,1 year,Studies in Human Society n.e.c.,Acton ACT
Business Double Masters (M.Human Resource Management),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"Human Resource Management, Business & Management",Adelaide SA
Business Double Masters (M.Info Comm Tech Mgt (Enterprise Systems)),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"Computer Science, Business & Management",Adelaide SA
Business Double Masters (M.International Business),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"International Business, Business & Management",Adelaide SA
Advanced Diploma in Arts,Undergraduate,N/A,Advanced Diploma,University of New England,1.5 years,Studies in Human Society n.e.c.,Distance Education
Advanced Diploma in Indigenous Legal Studies,Undergraduate,N/A,Advanced Diploma,The University of Western Australia,1.5 years,Legal Studies,CRAWLEY WA
"Advanced Diploma in Local, Family and Applied History",Undergraduate,N/A,Advanced Diploma,University of New England,1.5 years,History,Distance Education
Advanced Diploma in Special Education and Disability Studies,Undergraduate,N/A,Advanced Diploma,University of New England,1.5 years,Care for the Disabled,Distance Education
Advanced Diploma in The Sciences,Undergraduate,N/A,Advanced Diploma,University of New England,1.5 years,Natural & Physical Sciences,Armidale NSW
Business Double Masters (M.Management (Integrated Supply Chain Mgt)),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"Purchasing, Warehousing & Distribution, Business & Management",Adelaide SA
Business Double Masters (M.Management (Strategic Procurement)),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"Purchasing, Warehousing & Distribution, Business & Management",Adelaide SA
Business Double Masters (M.Management),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,Business & Management,Adelaide SA
Business Double Masters (M.Marketing),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"Marketing, Business & Management",Adelaide SA
Business Double Masters (M.Professional Accounting),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"Accounting (Narrow), Business & Management",Adelaide SA
Advanced Diploma in The Sciences,Undergraduate,N/A,Advanced Diploma,University of New England,1.5 years,Natural & Physical Sciences,Distance Education
Advanced Diploma in Theology,Undergraduate,N/A,Advanced Diploma,MCD University of Divinity,2 years,Religious Studies,North Adelaide SA
Advanced Diploma in Theology,Undergraduate,N/A,Advanced Diploma,MCD University of Divinity,2 years,Religious Studies,MULGRAVE VIC
Advanced Diploma in Theology,Undergraduate,N/A,Advanced Diploma,MCD University of Divinity,2 years,Religious Studies,East Melbourne VIC
Business Double Masters (MMgt Tourism & Event Mgt),Postgraduate,,Master's by coursework,University of South Australia,2.2 years,"Tourism Management, Business & Management",Adelaide SA
